20250701 054400;22846.5;22847.75;22845.75;22846;24
20250701 054500;22845.75;22847.25;22841;22841.5;73
20250701 054600;22841.5;22841.5;22837.25;22837.75;141
20250701 054700;22838;22842.75;22837.5;22842.5;108
20250701 054800;22842;22846.25;22841.75;22845.25;67
20250701 054900;22846.25;22846.25;22842.25;22843.25;46
20250701 055000;22843.5;22846;22842.75;22845.25;34
20250701 055100;22845.5;22850;22845.5;22849.25;50
20250701 055200;22849.25;22851.75;22848.75;22851.5;65
20250701 055300;22851.75;22856.75;22851.5;22856.75;115
20250701 055400;22855.75;22855.75;22852.25;22853.25;56
20250701 055500;22853;22856.5;22853;22854;38
20250701 055600;22853.75;22853.75;22849.25;22851.5;73
20250701 055700;22850.25;22852.5;22850;22851.75;15
20250701 055800;22851.75;22851.75;22848.5;22849.25;40
20250701 055900;22849.5;22849.5;22844;22844.25;109
20250701 060000;22844.5;22845;22840.75;22841.5;72
20250701 060100;22841.5;22847.25;22840;22843.5;107
20250701 060200;22844;22844;22834.25;22838.25;212
20250701 060300;22837.5;22838.5;22834.5;22837.75;97
20250701 060400;22837.5;22839.5;22836.75;22839.5;50
20250701 060500;22839.25;22839.75;22835.5;22835.5;56
20250701 060600;22836;22836;22832.75;22832.75;98
20250701 060700;22832.5;22833;22827.25;22827.5;278
20250701 060800;22828.25;22831.5;22827.25;22831.5;93
20250701 060900;22831.5;22836;22831.25;22836;109
20250701 061000;22836.25;22838;22835;22836;41
20250701 061100;22835.75;22837;22835.75;22836.5;25
20250701 061200;22836.75;22842.25;22836.25;22840.25;87
20250701 061300;22840.75;22842.25;22838.25;22840;48
20250701 061400;22840.5;22841.5;22839.5;22841;42
20250701 061500;22841.25;22841.5;22839.5;22839.5;21
20250701 061600;22840.5;22841;22839.25;22840.25;13
20250701 061700;22840;22840;22835;22836;34
20250701 061800;22836.5;22837;22835.25;22837;28
20250701 061900;22837.5;22840.75;22837.25;22840.25;54
20250701 062000;22839.5;22840;22837.75;22837.75;12
